adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
SOM,Somalia,7,Gedo,0,0,0,42.02720173,3.034990628,264.8662815,467871,5.670126127,0,0,0.000106131,0,0.000289639,0,0.097620134,0.652822166,0.007485509,0.050020681,0.182756989,0,0,0,0,0,0.008898734,0.177586222,SOM_7,0
SOM,Somalia,8,Hiiraan,0,0,0,45.44571283,4.157651781,209.4050217,425071,5.628461477,0,0,0.000331918,0,0,0,0.028489579,0.886240873,0.013567847,0.004278472,0.02948477,0,0,0.000155111,0,0,0.03745134,0.16955259,SOM_8,0
SOM,Somalia,9,Jubbada Dhexe,0,0,0,42.62090966,1.062834058,66.04920337,281688,5.449768346,0.000382879,0,0.012635142,0,0.002927562,9.08E-05,0.044674016,0.050585147,0.1783437,0.41052085,0.236941407,0.000780971,0.033655997,0,0.024722679,0,0.003738865,0.301270703,SOM_9,0
SOM,Somalia,10,Jubbada Hoose,0,0,0,42.33601372,-0.03934941,22.62829088,530595,5.724763153,0.048443533,8.03E-05,0.004265869,0.001292458,0.001889106,0.000252249,0.005146585,0.078452806,0.118258791,0.3964819,0.204089675,0.000247519,0.094356482,0.000216009,0.030220549,0,0.016306135,0.265579047,SOM_10,0
SOM,Somalia,11,Mudug,0,0,0,48.01525636,6.301357904,228.047576,557256,5.746054753,0.002011945,0,0,0,0,0,0.000142898,0.785731676,0.000649626,0.000994001,0.001095792,0,0,0,0,0,0.209374077,0.141692346,SOM_11,0
SOM,Somalia,12,Nugaal,0,0,0,49.00233165,8.108236214,430.4593722,129222,5.111336458,0.006803874,0,0,0,0,0,9.99E-05,0.653131302,0,0,0,0,0,0,0,0,0.339964911,0.120127776,SOM_12,0
SOM,Somalia,13,Sanaag,0,0,0,47.73875571,10.17764323,1075.21941,412734,5.615670246,0.001573394,0.000425508,0,0,0,0.000402794,0.003772121,0.554738342,0.002696133,0.000190776,0.000789315,0,0,0.002475289,0,0,0.432936315,0.110719923,SOM_13,0
SOM,Somalia,14,Shabeellaha Dhexe,0,0,0,45.71996034,2.867287607,124.9008135,689277,5.838393787,0.001661608,0,0.000607998,0,0.00077468,0.000735652,0.030852644,0.307432399,0.061152598,0.121414844,0.345039533,1.39E-06,0.070749737,0.017857407,0.013125702,6.39E-05,0.028529732,0.248179262,SOM_14,0
SOM,Somalia,15,Shabeellaha Hoose,0,0,0,44.70204015,1.937210302,82.1725841,1054286,6.02295844,0.007612926,0,0.000992527,0,0.001679208,7.74E-05,0.038761146,0.150515091,0.10344214,0.199162988,0.349272636,0.000114539,0.086834206,0.016248686,0.018161463,0,0.027124804,0.24752147,SOM_15,0
SOM,Somalia,16,Sool,0,0,0,46.98476389,9.053184066,754.9742228,235014,5.371093734,0,0,0,0,0,0,0.000160145,0.637510214,0,0,0.000400363,0,0,0,0,0,0.361929287,0.115640538,SOM_16,0
